no,cnName,enName,baituTier,enTier,chenTier,jpName,comment_jpwiki_cn,effect,baituDesc,enDesc,chenDesc
A015,工匠的木斧,Carpenter's Axe,T2,,,大工の手斧,为确保繁殖空间，得分效率也以1木1分◎。若与厩相关卡牌组合还能更加活跃,"Each time after you use a wood accumulation space, if you then have at least 7 wood in your supply, you can build exactly 1 stable for 1 wood.",,,
A017,开荒犁,Reclamation Plow,T2,,C,開墾鋤,以农田为主推进时有点不好用的效果。终盘能确保获得1块农田。注意在家畜市场不会发动。,"After the next time you take animals from an accumulation space and accommodate all of them on your farm, you can plow 1 field.",,,稳健卡，给的很快
A018,轮式犁,Wheel Plow,T1,,,車輪鋤,成本比较低这一点很优秀,"Once this game, when you use the ""Farmland"" or Cultivation"" action space with the first person you place in a round, you can plow 2 additional fields.",,,
A020,双把犁,Double-Turn Plow,T3,,,畝立て鋤,仅仅做“1小麦→SP”这样的动作，和进两次田地差别不大，所以想和小麦补助搭配使用。有种屋的话，可以用“种屋→SP→小麦→播种”的4手做出2块小麦田。,"When you play this card, you can immediately plow up to 2 fields.",,,
A021,温馨家庭,Family Friend Home,T1,,,家族向け住宅,在增加人数的时机去增筑的话，就能拿到增员。有“日曜大工”的话会很亮眼。,"Each time you take a ""Build Rooms"" action while having more rooms than people already, you also get a ""Family Growth"" action and 1 food.",,,
A022,电报,Telegram,T3,,F,電報,在第6回合之前拉7根栅栏，并在该回合中打出的话,"Add 1 to the current round for each fence in your supply and mark the corresponding round space. In that round only, you can place a person from your supply.",,,卡我超生了，滚！
A023,石材公司,Stone Company,T1,,C,採石事業所,由于打出成本很重，所以不能说是好用的卡。进到2石里去收集井户和工業吧。希望在还有其他拿取马具屋等进步的好处的状态下运用。,"Immediately after each time you use a ""Quarry"" accumulation space, you get a ""Major or Minor Improvement"" action during which you must spend at least 1 stone.",,,算是一张比较弱的核心卡牌。他其实没有啥收益，你拿它去打很多主发有时候也赢不了游戏。但是它是有能够消耗你卡组非常非常多多余行动的一张卡。就是如果你觉得你这个卡组的多余行动比较多，你可以用它们来围绕这个食材公司做构筑。他的行动还是有一个基本的行动价值的，可以算是一个弱化的礼拜堂吧。然后当你去频繁的踩石头的时候，别人大概率可以进行主发。所以也可以算是一张比较弱的核心卡。在卡组适合的时候抓，他是能够获得三倍以上的收益的。
A025,摇篮车,Bassinet,T3,,,乳母車,,"Each work phase, you can place a(nother) person on the first non-accumulating action space used by any player (including you), as long as there is only 1 person on that space.",,,
A027,烤炉区,Oven Site,T3,,,窯置き場,与“贴砖”等的砖块辅助，以及“商人”“年轻农夫”等的进步辅助成套。炭烧工会很高兴。,"When you play this card, you get 2 wood and you can immediately build the ""Clay Oven"" or ""Stone Oven"" major improvement. Either way, it only costs you 1 clay and 1 stone.",,,
A028,林中私塾,Forest School,T4,,F,森の学校,因为会把1木转换成1饭，所以转换效率很差。即使职业格已经被占满，放进去的效果也称不上有多强，打出的成本也偏重，不好用。,"You can consider the ""Lessons"" action spaces not occupied. You can replace each food that an occupation costs with wood.",,,没啥好评的
A029,啤酒长凳,Ale-Benches,T3,,,ビールベンチ,1小麦=1点的转换效率还算不错，但给其他玩家发饭就不太行。,"In the returning home phase of each round, you can pay exactly 1 grain from your supply to get 1 bonus point. If you do, each other player gets 1 food.",,,
A030,烘焙盘,Baking Sheet,T3,,,パン焼き天板,1小麦转换成1点2饭在转换效率上很优秀。想做出能多产小麦的盘面。注意：必须至少烤1个面包才能发动。,"Each time you take a ""Bake Bread"" action, you can use this card to exchange exactly 1 grain for 2 food and 1 bonus point.",,,
A031,债务担保,Debt Security,T3,,,担保,还想准备其他优秀的得分来源。,"During scoring, you get 1 bonus point for each major improvement you have, up to the number of your unused farmyard spaces.",,,
A034,树枝剪,Loppers,T4,,F,剪定ばさみ,一次启动回不了本，所以想发动两次。最理想的形态是先拉7栅，之后再用6栅做出13根、6格的牧场吗。就算做到那一步，也不过是把3木转换成4饭2点而已，所以效果微妙。,"Each time you build 1 or more fences, you can also use this card to exchange 1 wood and 1 fence in your supply for 2 food and 1 bonus point.",,,没啥好评的，发动了也只是回本
A035,游泳课,Swimming Class,T2,,,水泳教室,虽然行动会稍微受限，但即使只发动2次也有4点份额就足够了。用养父母的话就不会发动了。,"In the returning home phase of each round, if you return a person from the ""Fishing"" accumulation space, you get 2 bonus points for each newborn that you return home.",,,
A036,表面雕刻,Facades Carving,T3,,,ファサード彫刻,想在终盘拉篱笆之前就打出来。需要木・砖・芦苇・饭等前期准备，行动会受到限制，但只看得分效率的话，比玻璃瓶还高。,"When you play this card, you can exchange any number of food for 1 bonus point each, up to the number of completed harvests.",,,
A037,木锯,Bucksaw,T2,,,大枠のこぎり,尽量发动2次吧。哪怕只发动1次也能用2木换1小麦1分，所以也算及格分,"Each time you renovate, you can also pay 1 wood to get 1 bonus point and 1 grain.",,,
A039,礼拜堂,Chapel,T1,,A,礼拝所,虽然是最强的行动空间，但如果不加思考地放出，就会被别人反复进去，反而成为输的路线。理想情况下是先在一定程度上增员、拉升版面分数，同时在中盘以后用多余的手番进入礼拜所。,"This is an action space for all. A player who uses it gets 3 bonus points. If another player uses it, they must first pay you 1 grain.",,,算是一张在A到S之间的卡牌。收益比较简单，可以理解为就是每回合打出来超额收益一分，此后每回合超额收益一分。它通常来讲是可以发动六次的，所以它有一个七分左右的总收益。同时你还可以围绕他去做一些构筑。你手抓获得他有信息差的情况下，只要不要倒霉的撞到啤酒池之类的卡，这张卡的收益还是很高的。算是一个强A到S之间的卡。
A040,陶艺家的庭院,Potter's Yard,T1,,C,陶工の中庭,从初期盘面开始只要填满6格就能打出。只要能顺利打出，无论作为食物补助还是作为砖块补助都是很优秀的效果。例如，可以在“2间增筑+2厩+2田”的状态下打出，然后拉上栅栏一口气回收砖块。,"Immediately place 1 clay on each unused space in your farmyard. Each time you turn a space into a used space, you get the clay and you can immediately exchange it for 2 food.",,,算是一张B到C之间的卡，放在C的最前面。这张卡理论收益是4饭，非常强大，可以说是和书架在一个级别的收益。它有一定的灵活性。它需要配合的卡就是比如木贸，你只要是七个空地，通常来讲就是说你需要占用八个空地的话，房子你只要起四个马厩的卡组都可以使用它。然后很早去犁到六块田的卡组也可以使用它。同时一些需要围两次的卡组也可以使用它。
A041,蔬果刨刀,Vegetable Slicer,T2,,C,キッチンスライサー,只要能启动一次就有足够的性能。,"Each time you upgrade a Fireplace to a Cooking Hearth, you immediately get 2 wood and 1 vegetable (not retroactively).",,,比较弱的一动卡。算是一个很弱的种子卡。看你需要一个菜的时候你可以抓他。但是有时候你如果过早的抓它，你后面不需要火炉就很尴尬。就是天时地利人和的情况下还是比较强的，通常情况下不是那么强大。这张卡基本基本没见有人能用出来过。唯一的操作可能就是配合畜牧教师加法救工人。太苛刻了，一般没啥用。
A042,湖心小筑,Forest Lake Hut,T3,,,森の湖畔荘,单体效果也不差，但如果可以的话，最好结合捕鱼连招来运用。,"Each time you use the ""Fishing""/""Forest"" accumulation space, you also get 1 wood/food.",,,
A043,农场粪肥,Farmyard Manure,T3,,F,堆肥,如果拿到成吉思汗或羊饭，就更容易从首次增筑开始发动。即使一次建多座也只会启动1次。通过材木的名手或临时劳动者等效果，在自己回合以外建厩舍也不会发动效果。,"Each time you build 1 or more stables in one turn, you place 1 food on each of the next 3 round spaces. At the start of these rounds, you get the food.",,,这张卡基本基本没见有人能用出来过，唯一的操作可能就是配合畜牧教师加马厩工人吧，太苛刻了，一般没啥用
A045,防火池塘,Fire Protection Pond,T3,,,防火用貯水池,虽然有时间差，但如果打算尽早改建的话，是还不错的饭补。,"Once you no longer live in a wooden house, place 1 food on each of the next 6 round spaces. At the start of these rounds, you get the food.",,,
A046,剃毛刀,Claw Knife,T4,,,蹄ナイフ,"""正好""牧场1是瓶颈。尽早拉栅栏，只要能干哪怕1次活就足够。有小牧场，在用炉灶烹饪区吃饭推进的场面里很优秀。","Each time you use the ""Sheep Market"" accumulation space, place 1 food on each of the next 2 round spaces. At the start of these rounds, you get the food.",,,
A047,网格棚架,Trellises,T4,,,格子垣,想在第8~9回合左右拉栅栏并触发。有小牧场的话就能轻松1木4饭,"Immediately place 1 food on each of the next round spaces, up to the number of fences you have built. At the start of these rounds, you get the food.",,,
A048,刨工台,Shaving Horse,T0,,A,削り馬,因为每次获得木材时都可以启动效果，所以像树木园丁或伐木工那样，先获得木材1然后再额外获得木材的情况下，只要满足条件就能启动2次。如果因为擅自转换造成的影响而觉得木不够，也可以先拉一道栅栏把手头的木减少一下。,"Each time after you obtain at least 1 wood, if you then have 5 or more wood in your supply, you can exchange 1 wood for 3 food. With 7 or more wood, you must do so.",,,价值大概是在一个A级里面比较弱的位置。它的价值完完全全的取决于就是你前期究竟要花多少饭。因为他的这个兑换效率放在后期来讲是不算很高的，一个木头兑换三口饭，这个效率在后期超额的有限。他主要的收益就是在前期，你究竟能够把多少根木头兑换成饭。因为在前期木头基本上相当于一半，你前期每使用一次刨工台你就相当于净赚了两饭收益。刨工台在前期是指在前三季，在前三季刨工台如果能够提供到六饭收益的话，他就是一个强B卡。如果能提供到八饭收益的话，他就是一个强A卡。如果能提供到12饭以上收益的话，那他有S卡的水平。但是12饭的收益基本上就意味着你是有多个木头的消食物的消耗卡，比如箩筐加树农这种比较少见的情况。通常情况下把它是一个B卡的水平，取一个平均放在A卡里面。
A049,芦苇苗区,Nest Site,T2,,,営巣地,场上芦苇补助越多，去拿芦苇的玩家就越少，所以越容易发挥。反过来，如果有玩家通过芦苇原combo去芦苇1的话，会大幅弱体化，需要注意。,"Each time 1 reed is placed on a non-empty ""Reed Bank"" accumulation space during the preparation phase, you get 1 food.",,,
A051,流网渔船,Drift-Net Boat,T3,,,流し網船,作为补充食物的手段还不错，但成本里的芦苇有点偏重。要注意别把芦苇消耗掉，免得扩建被拖慢。,"Each time you use the ""Fishing"" accumulation space, you get an additional 2 food.",,,
A052,飞斧,Throwing Axe,T2,,,手投げ斧,作为中后期的饭补助很优秀。能产出大约10饭。,"Each time you use a wood accumulation space while there is at least 1 wild boar on the ""Pig Market"" accumulation space, you also get 2 food.",,,
A054,贷款,Credit,T2,,,信用貸し,在饭基础盘搭建完善之前用来过渡的,"When you play this card, you immediately get 5 food. At the end of each round that does not end with a harvest, you must pay 1 food, or else take a begging marker.",,,
A057,挤奶棚,Milking Parlor,T3,,,搾乳施設,因为即使是1羊也有2饭的效果，所以如果是灶台玩法，就能不费劲地发挥效果。,"When you play this card, if you have at least 1/3/4 sheep, you immediately get 2/3/4 food. The same applies if you have at least 1/2/3 cattle.",,,
A058,芦笋刀,Asparagus Knife,T3,,E,アスパラガスナイフ,如果有很多蔬菜就是很优秀的效果。这个效果用得太多，以至于播种时蔬菜没了，那就本末倒置了。,"In the returning home phase of rounds 8, 10, and 12, you can take 1 vegetable from exactly 1 vegetable field. You can immediately exchange it for 3 food and 1 bonus point.",,,在有配合的情况下是一动。这也就是他全部的价值了，不是很高。他最多最多是在一个非常苛刻的条件下给你三个上限分。所以撑死两动，通常是不到2动的。还需要既有菜又要多次播种。
A059,马铃薯起垄机,Potato Ridger,T3,,,じゃがいも畝立て機,虽然需要播种和蔬菜补助，但1蔬菜=6饭的转换效率很优秀。,"Each time after you harvest 1+ vegetables, if you then have 3+ vegetables in your supply, you can turn exactly 1 vegetable into 6 food. With 4+ vegetables, you must do so.",,,
A060,东方火炉,Oriental Fireplace,T3,,B,東洋かまど,相当优秀的转换效率。为了吃野猪而再次去拿镰刀调是效率很差的，所以绝对不要这么做。,"At any time: Vegetable → 4 Food; Sheep → 3 Food; Cattle → 5 Food ""Bake Bread"" action: Grain → 2 Food",,,强度：算是一张核心的食物卡。你有它之后，你可以用羊获得大量的食物。你抓了它之后，你后面就可以考虑这些食物的用途了。前期围绕着它，你可以获得除了羊之外，包括菜和牛也有一些配合所在。你可以用它在全局收益到十个食物以上。然后只不过他需要的配合就是他和刨工台相比，他第一个是来的比刨工台慢，没办法配合特别早期的食物消耗。它需要配合第二季，他在第二季开始才有食物可供消耗。但是你在第二季以后，它可以提供通常可以提供十个以上的食物。所以他是算是一张B级的核心卡，能够提供大量食物的核心卡。
A061,簸谷机,Winnowing Fan,T3,,,箕,,"After the field phase of each harvest, you can use a baking improvement but only to turn exactly 1 grain into food. (This is not considered a ""Bake Bread"" action.)",,,
A062,啤酒桶,Beer Keg,T1,,,樽詰ビール,小麦越多越好，但即使只是作为把1小麦变成3饭的饭补助，也还算不错。,"In the feeding phase of each harvest, you can use this card to exchange 1/2/3 grain for 0/1/2 bonus points and exactly 3 food.",,,
A064,大麦磨台,Barley Mill,T4,,F,大麦製粉機,成本太重了。只出食物。奖励点也只有1点，搞不懂到底想干什么。,"In the field phase of each harvest, you get 1 food for each grain field that you harvest.",,,低配垄作。他的麦子转化效率太低了，约等于每个麦子多给一口饭。这个效率实际上是在麦子转化卡里算是非常低的。可能只有那一张能把麦子当建筑资源用的不太强的卡能跟这张卡组配合。正常麦子本身就已经转换成饭了，意义不大。
A065,捆装种子,Seed Pellets,T2,,D,ペレット種子,从序盘开始就做3块田的话，是很优秀的小麦补助。,"Each time before you take an unconditional ""Sow"" action, you get 1 grain.",,,小于一动。它要求太苛刻了，特别要求特别苛刻。大部分情况下也就给一个麦子，给两个麦子的情况下他才算是一张合格的卡。给一个麦子的话挺一般的。就是没有什么能抓的时候勉强能一抓。
A066,喂食盘,Feeding Dish,T3,,,餌皿,如果是灶台厨房玩法就能发挥作用。赶牲畜者因为是先通过效果获得家畜之后再进入累积的处理，所以即使是在一只也没养的状态下进入也能启动效果。,"Each time you use an animal accumulation space while already having an animal of that type, you get 1 grain.",,,
A068,芦笋礼物,Asparagus Gift,T2,,,アスパラガスの贈り物,是否启动一次的效果。中盘以后即使顺其自然地打也比较容易触发。,"Each time you build a number of fences equal to or greater than the current round, you immediately get 1 vegetable.",,,
A070,起重机,Lifting Machine,T4,,F,堀り取り機,如果有优秀的播种辅助，就能通过立刻把收获的蔬菜重新种下去来增加，所以效果还算不错，但基本上看起来很少有能发挥作用的场合。,"At the end of each round that does not end with a harvest, you can move 1 vegetable from one of your fields to your supply. (This is not considered a field phase.)",,,基本没有用过，不知道它有什么用，非常奇怪。因为它一次只能收一块地，相当于每一季只能多收一块，这实在是太少了。所以只有在非常奇怪的情况下才可以用它。一般情况下是没啥使用空间的，被芦笋刀完爆。
A072,钙肥,Calcium Fertilizers,T3,,,石灰肥料,可以和储藏房间打出联动组合。,"Each time you use a ""Quarry"" accumulation space, add 1 additional good of the respective type to each of your planted fields growing a single type of crop.",,,
A073,农业肥料,Agricultural Fertilizers,T3,,E,農業用肥料,用各种锄头耕2块以上的田地也无法发挥效果。可以通过建厩、围栏或增筑来发动效果，但和播种效果不契合，所以不能说是优秀的卡牌。要是能和像树篱管理员那样能多次抽到围栏的卡牌搭配的话，或许还有可能性……,"Each time after you turn at least 2 unused spaces into used spaces in one action, you get an additional ""Sow"" action.",,,这张这张卡就是两马厩或者俩房子送你一次播种，这张卡的话中规中矩吧，因为毕竟播种这个东西，它的特点是很少需要连续去播种。大部分情况下，这个两次播种的间隔都是非常长的。这张卡通常就是认为有配合的情况下提供了资本，算是D和E中间吧，就是如果你能抓得起他那他算是一张能打的卡
A074,树洞圈舍,Stable Tree,T1,,C,厩の木,一次建造多个也只启动1次。通过“材木の名手”或“臨時労働者”等效果在自己回合以外建造时，效果也不会发动。,"Each time you build 1 or more stables on your turn, place 1 wood on each of the next 3 round spaces. At the start of these rounds, you get the wood.",,,这是一张在核心和这个有核心强度，也有单卡强度的一张卡。这张卡单卡强度一般认为是两根木头，算是一个可以接受的强度。同时或许还有卡马厩的一些操作。赌到配合的话，价值有四动。但是另一个角度呢就是这张卡它的强度高低非常依赖于你上家的玩法。就是说你上家如果是一个不喜欢扣卡的玩家的话，那他的强度还可以。如果你上家非常喜欢扣卡的话，那在234抓里看到的，他强度可以说几乎相当于零。竞技场环境下，这张卡在234抓的强度很少可以看得见。但是它本身的强度又不值得一抓。所以说综合来讲就很只有在很少的情况下你去抓其他卡才能够烂到让你去手抓一张这个卡。所以综合来讲的话，它的强度只能在C里面偏弱的强度，这是它的平均强度。
A076,玉米穗轴,Cob,T3,,,わら粘土,先做好小麦田，用来改建or增建or制陶吧,"At the start of each work phase, if you have at least 1 clay in your supply, you can exchange exactly 1 grain for 2 clay and 1 food.",,,
A077,砖头背篓,Hod,T2,,,背負いかご,尤其在终盘能获得大量砖。若像制陶场或做土器之类，直到终盘仍有砖的用途的话，就特别优秀。,"When you play this card, you immediately get 1 clay. Each time any player (including you) uses the ""Pig Market"" accumulation space, you immediately get 2 clay.",,,
A079,农用锄头,Garden Hoe,T3,,,園芸用くわ,条件比较苛刻，但如果能顺利发动，效果还算不错。即使一次撒下多个，能拿到的也还是每次1个,"Each time you take an unconditional ""Sow"" action planting vegetables in at least 1 field, you get 1 clay and 1 stone.",,,
